Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,vegetablescat=1682,1,null,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,Soy bean,,,,,,,CHIBA,null,"GREEN
bo94
Very tasty and early edamame soybean. Productive, compact and upright plant with big beans. Harvest is convenient because the big beans mature uniformly. Nice steamed fresh or dried.
Type: Soy bean"
en,vegetablescat=1682,2,null,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,Soy bean,,,,Height: 60 cm; ,,,GREEN,null,"SHELL
bo95
Early, high-yielding edamame bean with extra-large soya beans. Prefers temperate climates. Bright green pods, delicate, full-bodied flavor.
Height: 60 cm
Type: Soy bean"
en,vegetablescat=1682,3,null,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,Soy bean,,,,Height: 50 cm; ,,,HOKKAI,null,"GREEN
bo97
This new compact variety from Japan has lovely large pods and produces a high yield. A medium-early, stable edamame variety with a delicate taste.
Height: 50 cm
Type: Soy bean"
en,vegetablescat=1682,4,null,null,null,null,,,,,,,,,null,
en,vegetablescat=1682,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null
