Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,vegetablescat=1651,1,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",ball shaped,,,,,,,BAMBINO,null,"au21
Non-vigorous growth habit, multiple small, ball-shaped purple 'cocktail' aubergines.
Fruit type: ball shaped"
en,vegetablescat=1651,2,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",elongated,,,,,,,MELONGA,null,"au11
Bred by Sativa. Crops early. The slender fruits grow to 22-25 cm in length and approx. 8 cm in diameter. Skin strongly purple-coloured and glossy.
Fruit type: elongated"
en,vegetablescat=1651,3,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",pear shaped,,,,,,,MERONDA,null,"au10
Bred by Sativa. Crops early. The pearshaped fruits grow to 16-18 cm in length and 10-12 cm in diameter. Skin strongly purple-coloured and glossy.
Fruit type: pear shaped"
en,vegetablescat=1651,4,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",ball shaped,,,,,,,ROSSO,null,"DI NAPOLI
au13
Aubergine (egg fruit) from Ethiopia, plants and fruits somewhat larger than Rouge de Turquie. Processing temperature should not exceed 150°C in order to prevent the fruits from turning bitter. Vigorous growth, copes with lower temperatures compared to S. melongena.
Fruit type: ball shaped"
en,vegetablescat=1651,5,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",ball shaped,,,,,,,ROTONDA,null,"BIANCA SFUMATA DI ROSA
 au22
Productive and vigorous variety with ball-shaped, ivory-coloured, running to pink-coloured. Firm flesh with few seeds, good taste.
Fruit type: ball shaped"
