Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,vegetablescat=1712,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,null,null,stem cabbage,,,,,,,CIMA,null,"DI RAPA
ko59
Speciality originally from Italy, young aromatic leaves, stems and buds can all be consumed. Taste-wise Cima di Rapa is reminiscent of broccoli. Comparatively undemanding in cultivation.
Type: stem cabbage"
en,vegetablescat=1712,2,null,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,,,"fresh, storage",,,,GOLDEN,null,"BALL
  ko56
Somewhat smaller turnip, yellow flesh, good taste. Fast growing, takes only approx. 2 months. Sowing directly into the soil gives best results.
Use: fresh, storage"
en,vegetablescat=1712,3,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,,,,PURPLE,null,"TOP MILAN
ko58
Fast growing, flat to round May Turnip, shoulder red to purple. Aficionados harvest the May Turnip as young as possible and love to eat it either raw or cooked. The delicate white flesh is aromatic with a slight tang."
en,vegetablescat=1712,4,null,null,null,null,,,,,,,,WHITE,null,"TURNIP
ko49
White-fleshed, round to cylindrical turnip from Sativa breeding. Short growth time and fine buttery taste. Can be harvested as a spring turnip and for making pickled turnips."
en,vegetablescat=1712,5,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,,,"fresh, storage",,,,,null,
