Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,vegetablescat=1481,1,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,null,ball shaped,,,,,,,IMPERIAL,null,"STAR
ar10
A variety showing vigorous growth, with dark green foliage and broad white ridges. The flowers appear in the following year and are harvested while still closed. If sown extremely early, a harvest may be possible in the same year.
Type: ball shaped"
en,vegetablescat=1481,2,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,null,ball shaped,,,,,,,LOMANITA,null,"ar20
Robust, slightly spiky variety with dark green, dull shimmering leaves. The variety has elongated, fleshy, beautiful buds. Same year harvest is possible with very early sowing. Bred by Sativa.
Type: ball shaped"
