Category,Subcategory,Product URL,Additional XPath Data 1,Additional XPath Data 2
en,vegetablescat=1481,https://www.sativa.bio/en/imperial-star-ar10,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0","IMPERIAL STAR
ar10
A variety showing vigorous growth, with dark green foliage and broad white ridges. The flowers appear in the following year and are harvested while still closed. If sown extremely early, a harvest may be possible in the same year.
Type: ball shaped"
en,vegetablescat=1481,https://www.sativa.bio/en/lomanita-ar20,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0","LOMANITA
ar20
Robust, slightly spiky variety with dark green, dull shimmering leaves. The variety has elongated, fleshy, beautiful buds. Same year harvest is possible with very early sowing. Bred by Sativa.
Type: ball shaped"
