Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,vegetablescat=1663,1,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,null,cantaloupe,,,,,,,CHARENTAIS,null,"me64
Smallish fruit, orange flesh, skin light green with dark green stripes. Has excellent taste provided it is fully ripe.
Type: cantaloupe"
en,vegetablescat=1663,2,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,null,cantaloupe,,,,,,,PETIT,null,"GRIS DE RENNES
me61
Smallish, 400-600 g in weight, sweet fruit, which will fully ripen even in not particularly warm conditions. Colour of skin dark green, flesh bright orange. Ripens early, aromatic.
Type: cantaloupe"
en,vegetablescat=1663,3,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",cantaloupe,,,,,,,SELECTION,null,"OF BENARY
me60
Orange-coloured cantaloupe melon, highly aromatic, small seed core.
Type: cantaloupe"
en,vegetablescat=1663,4,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,null,watermelon,,,,,,,SUGAR,null,"BABY
me23
If sown in April, a number of deliciously sweet watemelons will ripen by the end of August. Flesh red. Smallish fruit between 2-3 kg in weight.
Type: watermelon"
